,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
105,3.706504339504697,14.296516738089544,3.8388794944870073,28.576588128346838,7252.132798309069,RCK,8801,tank,DAL,4523,4532.572597026825,4.7655055793631815,FreeAgent,14.428967755482187,75.54287661711375,109.00057308647035
130,5.651549631174598,15.785362762935948,4.092501457057468,7256.586196614603,5821.614913938242,TVIQ,3504,offense,FLA,4407,3078.801591694355,4.48226350058675,Bobble,20.97088249202082,51.313359861572586,107.60864399278165
37,4.020490574530824,15.50760650176175,6.030735861796237,17.78141735041065,7136.528904729939,ELSA,8787,tank,CDH,7692,4178.594549238682,3.302545829078891,FreeAgent,14.908113572961224,69.64324248731137,103.82493685901163
35,6.097090581552847,15.160333337915189,5.602731885751266,0.0,9366.229185891303,EFFECT,4616,offense,DAL,4523,3641.0808898210526,4.6140144941481,Not Another...,16.946395854848898,60.68468149701754,102.83866349738837
57,4.467033518148126,21.864953536198723,6.582996763586713,7334.183682334886,5841.400094048486,HAKSAL,8750,offense,VAN,7696,2552.029205441475,3.7617124363352645,FreeAgent,24.108060544482733,42.53382009069125,102.54079099345208
62,4.378258793900382,16.13042713542246,3.6869547738108475,9199.279357281886,6122.962601572763,HYP,8742,support,PAR,7694,2603.77481931448,4.378258793900382,FreeAgent,23.38745552656588,43.39624698857467,101.49277964651586
131,3.996819463606218,17.63302704532155,5.877675681773851,7159.820276225578,6924.273644860772,TWILIGHT,8729,support,VAN,7696,2552.029205441475,3.996819463606218,Jyeran,22.900607443747127,42.53382009069125,97.40503169798852
20,6.039395759115628,17.33891040520293,5.84457654107964,147.35421150800445,9533.844160155633,BQB,8704,offense,FLA,4407,3079.778299331665,4.286022796791736,FreeAgent,18.350653574265102,51.32963832219442,94.1932410942912
6,6.31791375997701,12.923005418134792,4.1640795236212105,0.0,6817.429048238356,AMENG,8812,tank,CDH,7692,4178.594549238682,4.3076684727115975,FreeAgent,13.278931757305752,69.64324248731137,92.47878643465042
94,5.299997487353094,16.13042713542246,3.6869547738108475,8831.848851188128,4408.303386261488,NICOGDH,8743,offense,PAR,7694,2603.77481931448,4.147824120537204,FreeAgent,21.305365805160847,43.39624698857467,92.45729166626931
74,5.393207658933283,14.831321062066529,4.044905744199962,10342.861377729778,6863.605694701273,KODAK,8691,support,ATL,7698,2225.0209446549416,4.853886893039955,FreeAgent,24.622127603464318,37.08368241091569,91.30791603279114
95,6.62343773663356,15.013125536369403,2.8701563525412093,6685.449041466845,4674.402211901789,NLAAER,8671,offense,ATL,7698,2717.621983587742,4.194843899867921,FreeAgent,18.866414021553336,45.293699726462364,85.4529691607356
121,4.60869346726356,19.586947235870127,7.1434748742585175,0.0,9272.148781342847,SOON,3987,offense,PAR,7694,2603.77481931448,4.378258793900382,Not Another...,19.06562239927791,43.39624698857467,82.73764586299657
119,2.115963245438586,16.222384881695827,2.5861772999804944,7457.663526366856,3744.382830305965,SLIME,8749,support,VAN,7696,2552.029205441475,3.2914983817933563,Cougum,19.313238797520736,42.53382009069125,82.14658243823052
70,2.115963245438586,24.45113083617922,6.818103790857667,0.0,6306.487561846076,JJANU,8748,tank,VAN,7696,2552.029205441475,1.8808562181676323,Not Another...,18.532052979935685,42.53382009069125,78.8239007359743
137,5.169202167253917,6.31791375997701,1.005122643632706,5496.247008586151,2641.396778001142,YVELTAL,8813,support,CDH,7692,4178.594549238682,2.5846010836269584,FreeAgent,11.296600666575799,69.64324248731137,78.67318995046615
66,5.13924230161501,21.41350959006254,6.566809607619178,2826.3581681151445,7755.412200109651,JAKE,4140,offense,HOU,4525,2101.477098405361,4.568215379213342,PopeRonPaul,21.288525163256065,35.02461830675602,74.56224681568145
75,4.872025544116033,12.472385392937044,1.753929195881772,4225.324361244339,3653.0089673499033,KRIS,8706,support,FLA,4407,3078.801591694355,2.338572261175696,FreeAgent,14.114526025062764,51.313359861572586,72.42637531995773
76,5.299997487353094,14.286949748517035,3.6869547738108475,4765.015248030255,4735.894474881954,KRUISE,8744,support,PAR,7694,2603.77481931448,3.2260854270844916,FreeAgent,16.644384597170728,43.39624698857467,72.23038249516487
114,3.4592785127491137,26.63644454816818,11.069691240797164,0.0,11432.89014897896,SEOMINSOO,8728,offense,VAN,7696,1734.4657210707664,4.151134215298937,FreeAgent,24.75111242306305,28.907762017846107,71.54992676028608
21,6.112782709044805,18.10324109986346,6.582996763586713,0.0,7544.050457636681,BUMPER,8771,tank,VAN,7696,2552.029205441475,4.7021405454190806,Dragonbeard,16.595671007568413,42.53382009069125,70.58772849202157
